AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:14,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:29,wifi_rssi_20:23:00:00:01:32,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:52,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:14,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:22,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:14,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:32,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:52,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:14,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:22,wifi_freq_20:23:00:00:03:25
42.2901,-69.0,,,,,-82.0,-51.0,,,,,,,,-54.0,-61.0,,,,-53.0,-64.0,-74.0,-67.0,-66.0,-66.0,-55.0,-50.0,,,,,,,,,,,,,,,,,,,,,,-86.0,,-86.0,-87.0,,-86.0,,,-89.0,,,,,,,,,-86.0,-86.0,,,,,,-88.0,,,,,-87.0,,,,,,-64.0,2437.0,,,,,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,5500.0,,2462.0,5500.0,,5500.0,,,5500.0,,,,,,,,,2462.0,2462.0,,,,,,2462.0,,,,,2462.0,,,,,,2437.0
46.3057,-65.0,,,,,,-51.0,,,,,,,,-55.0,-61.0,,,,-53.0,-64.0,-74.0,-67.0,-62.0,-63.0,-56.0,-50.0,,,,,,,,,,,,,,,,,,,,,-90.0,-86.0,,,,,-86.0,,,-87.0,,,,,,,,,,,-85.0,,,,,,,,,,,,,-92.0,,,-60.0,2437.0,,,,,,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,,,5500.0,,,5500.0,,,,,,,,,,,2412.0,,,,,,,,,,,,,5500.0,,,2437.0
50.3177,-65.0,,,,,-86.0,-51.0,,,,,,,,-55.0,-62.0,,,,-55.0,-70.0,-77.0,-76.0,-63.0,-63.0,-55.0,-59.0,,,,,,,,,,,,,,,,,,,,,-86.0,-86.0,,,,-85.0,-84.0,,,-85.0,,,,,,,,,,,,,,,-94.0,,,,,,,,,,,,-67.0,2437.0,,,,,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,,5500.0,5500.0,,,5500.0,,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,2437.0
54.3123,-68.0,,,,-80.0,,-48.0,,-85.0,,,,,-90.0,-55.0,-64.0,,,,-57.0,-70.0,-80.0,-76.0,-65.0,-65.0,-57.0,-53.0,-87.0,,,,,,,,,,,,,,,,,,,,-89.0,-86.0,,,-87.0,,-87.0,,,,,,,,,,-88.0,,,,,,,,,,,,,,-84.0,,,,,,-63.0,2437.0,,,,5200.0,,2452.0,,2412.0,,,,,2457.0,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,,5500.0,,,,,,,,,,2437.0,,,,,,,,,,,,,,2462.0,,,,,,2437.0
58.2927,-68.0,,,,-80.0,-85.0,-45.0,,-86.0,,,,,,-52.0,-62.0,-85.0,,,-57.0,-69.0,-81.0,-72.0,-67.0,-67.0,-55.0,-52.0,-86.0,,,,,,,,,,,,,,,,,,,,-85.0,-84.0,,-88.0,-84.0,-84.0,-83.0,,,-83.0,,,,,,,,,,-88.0,,,,,,,,,,-85.0,,,,,,,-65.0,2437.0,,,,5200.0,2417.0,2452.0,,2412.0,,,,,,2462.0,2412.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,2462.0,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,,2462.0,,,,,,,,,,2462.0,,,,,,,2437.0
62.3234,-65.0,,,,-80.0,-85.0,-45.0,-85.0,,,,,,-90.0,-52.0,-61.0,,,,-57.0,-69.0,-81.0,-73.0,-69.0,-69.0,-55.0,-52.0,,,,,-91.0,,,,,,,,,,,,,,,,-85.0,-84.0,,,-84.0,-84.0,-84.0,,,-84.0,,,,,,,,,-86.0,,,,,,,,,,,,-87.0,,,,,,-68.0,2437.0,,,,5200.0,2417.0,2452.0,2462.0,,,,,,2457.0,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,2437.0,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,2462.0,,,,,,,,,,,,2462.0,,,,,,2437.0
66.307,-73.0,,,,-80.0,-84.0,-45.0,,,,,,,,-50.0,-62.0,,,,-57.0,-71.0,-83.0,-73.0,-67.0,-66.0,-54.0,-52.0,,,,-92.0,-91.0,,,,,,,,,,,,,,,,-84.0,-85.0,,,-84.0,-84.0,-85.0,,,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,2437.0,2437.0,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
70.3453,-68.0,,,,-79.0,-84.0,-47.0,,,,,,,,-55.0,-61.0,,,,-57.0,-69.0,-81.0,-72.0,-67.0,-69.0,-54.0,-52.0,-86.0,,,,,,,,,,,,,,,,,,,,-84.0,-85.0,,,-84.0,-84.0,-85.0,,,-84.0,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,-64.0,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,2437.0
74.3158,-71.0,,,,-81.0,,-47.0,,,,,,,,-53.0,-61.0,-92.0,,,-56.0,-69.0,-80.0,-72.0,-64.0,-65.0,-54.0,-52.0,-86.0,,,,,,,,,,,,,,,,,,,,-88.0,-85.0,,,-88.0,-85.0,-85.0,,,-88.0,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,-61.0,2437.0,,,,5200.0,,2452.0,,,,,,,,2462.0,2412.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,2437.0
78.3241,-63.0,,,,-75.0,-82.0,-47.0,,,,,,,,-61.0,-64.0,-84.0,,,-56.0,-66.0,-76.0,-72.0,-63.0,-63.0,-59.0,-55.0,-86.0,,,,,,,,,,,,,,,,,,,,-92.0,-85.0,,,,,,,,-90.0,,,,,,,,,-84.0,,,,,,,,,,,,,,,,,,-65.0,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,,,,,,5500.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,2437.0
82.3336,-68.0,,,,-82.0,-82.0,-58.0,,,,,,,,-63.0,-64.0,,,,-61.0,-62.0,-74.0,-72.0,-68.0,-68.0,-63.0,-55.0,,,,,,,,,,,,,,,,,,,,,-85.0,,,,-85.0,-90.0,-84.0,,,-91.0,,,,,-86.0,,,,,,-90.0,,,,,,,,-88.0,,,-88.0,,,,,-65.0,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,5500.0,,,,5500.0,5500.0,5500.0,,,5500.0,,,,,2437.0,,,,,,2412.0,,,,,,,,2432.0,,,2432.0,,,,,2437.0
